gid                 my results          his results         difference          
108016              1.5                 1.5                 0.0                 
7022                29.6062490617       22.7736636771       6.83258538452       
41544               19.7873602545       26.7603993253       -6.97303907075      
92284               31.9856762518       24.9516849864       7.03399126546       
157566              25.2842289765       32.8081530658       -7.52392408922      
39784               24.0606925453       28.6216687487       -4.56097620344      
93928               24.9922207922       31.9612822507       -6.96906145855      
57164               32.431479511        32.5948231873       -0.163343676276     
12810               24.7384171371       31.8699412886       -7.13152415147      
45964               26.1709654095       26.2704283754       -0.099462965982     
98780               30.6446574742       25.5792778428       5.06537963136       
30368               31.10237225         33.0392286722       -1.9368564222       
52580               29.8149349905       19.8441794652       9.97075552531       
19292               23.9942986154       27.8587253091       -3.8644266937       
172319              19.7360144532       21.0765633946       -1.34054894139      
167718              32.1365488407       24.5151581501       7.62139069062       
25779               6.94285627661       8.71211211438       -1.76925583777      
51357               2.51498847946       3.04125532184       -0.526266842381     
28696               22.0211801177       29.607142603        -7.5859624853       
69062               16.732251862        19.2352410693       -2.50298920724      
81442               32.9153994672       31.5438970508       1.3715024164        
20698               21.4792201134       25.3665505333       -3.88733041991      
120578              23.074673868        25.5386705677       -2.46399669973      
109826              30.6681814912       27.3061622569       3.36201923436       
153516              11.600488348        15.4481022692       -3.84761392124      
107554              24.1963327187       30.1485088178       -5.95217609919      
31698               31.784630775        30.6566581944       1.12797258056       
149322              19.8299509506       27.589087918        -7.75913696739      
40956               27.7232130375       29.3945517538       -1.67133871629      
7824                20.2526745356       15.844058504        4.40861603157       
52120               24.090188063        32.856877735        -8.76668967204      
105884              29.4730958889       27.3766341149       2.09646177403       
127326              29.675504573        24.3834009046       5.29210366838       
116518              29.4139045561       32.0543367551       -2.64043219901      
160482              21.8447898991       24.3573994518       -2.51260955264      
20850               1.5                 1.5                 0.0                 
153747              1.5                 1.5                 0.0                 
160556              6.74980931917       6.684995023         0.0648142961683     
42534               19.8089566455       15.0612962171       4.7476604284        
67902               21.948565626        22.0447682517       -0.0962026256609    
94156               14.3601707838       23.4722395045       -9.11206872062      
157568              7.28372664317       7.1817261012        0.10200054197       
146812              30.2281107462       27.7003101797       2.52780056655       
1558                28.4008059169       31.5094560912       -3.10865017434      
76768               24.299574107        14.2389485922       10.0606255148       
78436               17.3570771343       16.8813543665       0.475722767823      
17960               20.7291917519       20.5179045532       0.211287198645      
51194               22.9357222259       26.5884354994       -3.65271327352      
148440              23.6799529658       26.4913364785       -2.81138351277      
83360               3.77269678765       3.36537591368       0.407320873969      
45931               23.4740182189       21.7019801089       1.77203811          
40983               22.5581182198       24.7395598312       -2.18144161146      
138367              29.3583098241       23.2353741776       6.12293564648       
132334              12.3273015586       12.8176919757       -0.490390417089     
51508               31.0831160666       28.733638829        2.34947723756       
17742               31.6121933947       26.9682907639       4.64390263084       
93934               33.0746971817       28.4681092146       4.6065879671        
28694               32.3438286866       32.1400112511       0.20381743545       
4822                27.9926628269       29.4418099286       -1.44914710173      
171566              23.6439857023       27.0073721262       -3.3633864239       
41446               20.7920280369       18.098934246        2.69309379095       
95632               7.67835022145       7.71400822373       -0.0356580022796    
11462               12.36009166         11.3129714142       1.04712024581       
57514               21.5179363338       20.0328233835       1.48511295028       
15800               25.875222071        24.6911215471       1.18410052389       
91966               32.4840656892       25.9900500928       6.49401559632       
70830               29.2268135815       32.0324845859       -2.80567100441      
142876              29.8230156122       30.828571024        -1.00555541182      
120892              31.9943198835       30.0413226596       1.95299722395       
73160               32.7657949743       31.9125051433       0.853289830967      
20068               31.6435111109       27.249857306        4.39365380497       
9106                32.0868215832       32.5532652229       -0.466443639739     
45568               32.7627376136       27.8691834781       4.89355413553       
56722               27.7982322212       29.6633133487       -1.86508112751      
103010              30.3074374178       25.1301742133       5.17726320446       
70922               31.8517294449       22.8166553171       9.03507412775       
15906               18.2551072438       16.4048107142       1.85029652956       
158491              1.5                 1.5                 0.0                 
122521              7.54089356908       10.4903710877       -2.94947751862      
104572              24.2870619178       25.8013005152       -1.51423859741      
67364               25.4919689046       26.9326210879       -1.44065218323      
21368               29.3301771518       32.0126015246       -2.68242437276      
54702               31.8059445803       31.4919550968       0.313989483528      
20392               33.0866162441       32.8464365392       0.240179704888      
118473              27.7738569421       25.3680122999       2.40584464218       
113866              22.3517162387       25.2263480883       -2.87463184964      
113868              31.3738595351       26.7280850507       4.64577448436       
42940               6.36886788729       9.44572383367       -3.07685594638      
51968               1.5                 1.5                 0.0                 
12922               26.2738396729       24.6438804017       1.62995927117       
87760               24.9297586292       19.6684193557       5.26133927345       
72328               17.0271266576       18.8208910773       -1.79376441967      
83438               14.8554884765       15.7274079124       -0.871919435939     
81874               31.2635084706       31.0729686221       0.190539848553      
103498              27.0172787917       28.2154001447       -1.19812135304      
27362               31.1879913293       28.3076588607       2.88033246858       
5218                30.7180009521       27.9377576704       2.78024328168       
136786              29.6974538061       26.1410781887       3.55637561733       
167784              31.7676183522       26.6590918008       5.10852655143       
