gid                 my results          his results         difference          
102238              25.4407514752       26.4883286357       -1.04757716056      
146369              13.213108936        12.265239218        0.947869718019      
61928               1.5                 1.5                 0.0                 
91543               1.5                 1.5                 0.0                 
85944               27.0058544696       26.4521468456       0.553707624022      
110840              12.1072694113       12.5761933764       -0.468923965129     
24018               22.0520961236       23.2423484205       -1.19025229686      
3116                29.3222065614       26.5567063281       2.76550023328       
2840                30.7030883874       28.0125891458       2.69049924162       
2842                29.2632113514       28.0717880434       1.19142330802       
167836              23.7541371598       20.7259187212       3.02821843861       
58798               20.5740507313       14.3586622495       6.21538848183       
58800               16.887643024        19.4954044523       -2.60776142831      
14656               22.5134796314       27.5579859071       -5.04450627573      
61602               29.9079374549       30.2564996221       -0.348562167239     
104548              29.5546077063       32.8908333771       -3.33622567077      
115146              30.5635210281       31.6877660339       -1.1242450058       
72448               31.0752450476       30.2683942913       0.806850756375      
142960              27.1985333008       32.947118096        -5.74858479526      
78142               18.5805345759       29.4767121679       -10.896177592       
67497               23.1235777457       27.9995978971       -4.87602015133      
120503              11.9758058741       9.85910271252       2.11670316155       
136862              5.72643479796       8.23477703988       -2.50834224193      
4906                28.5012887426       28.4209291409       0.0803596017626     
60322               31.5936475254       31.6562557642       -0.0626082388742    
146642              28.6612089849       28.4237691761       0.237439808798      
21114               10.8197219283       10.2152880325       0.604433895756      
81446               21.2746336686       22.6548946245       -1.38026095589      
149013              29.2980469005       29.7796625867       -0.481615686172     
29574               24.437071226        21.0261462932       3.41092493277       
93542               24.4475507755       26.3977447708       -1.9501939953       
115004              22.6715090058       23.4756482624       -0.80413925661      
115006              27.8215073039       29.621977269        -1.80046996511      
158912              28.1703461189       29.8277949103       -1.65744879141      
77282               22.4449056003       21.3817813265       1.06312427385       
11492               7.00729489971       6.39951370817       0.607781191536      
31700               30.2099377035       26.91791765         3.29202005343       
96982               31.151568098        29.6334825077       1.51808559031       
31702               25.180501342        33.148183852        -7.96768250997      
96984               26.0315947105       31.9710159939       -5.93942128342      
162160              29.5830927232       20.7699741564       8.81311856678       
172878              26.6047200273       23.604712811        3.00000721627       
41672               29.7860753911       29.3299258889       0.456149502218      
95872               27.320022612        24.3607346485       2.95928796351       
72942               31.3966413556       25.8942854111       5.50235594449       
148402              30.4373352258       26.4662650807       3.97107014519       
126392              27.6854464557       30.2979540559       -2.61250760024      
28906               28.5062898913       28.229335334        0.276954557301      
142990              30.2195647706       20.9003786343       9.31918613631       
34492               32.1565919017       26.335855334        5.82073656764       
6810                23.9374419608       14.3717259573       9.56571600353       
85867               22.289697148        21.7393284344       0.55036871359       
48536               13.2918138823       12.788673303        0.503140579249      
46822               23.3382627496       30.3251723673       -6.98690961767      
81478               22.0022655578       28.4937904444       -6.49152488663      
88138               24.0823452216       23.5387070287       0.543638192862      
153356              25.9958692183       23.6255992949       2.37026992336       
164404              30.2237964038       25.2108385258       5.01295787798       
147784              9.47527534945       12.5549348987       -3.0796595492       
126252              26.9210564733       18.199221345        8.72183512831       
28240               28.4757998934       26.1568295877       2.31897030573       
93536               29.0671554689       23.8587241196       5.20843134929       
158894              19.7061340335       21.6323774986       -1.92624346516      
113818              27.629284126        23.8268691779       3.80241494811       
157572              25.7639776842       27.0017879289       -1.23781024471      
81568               30.0106782069       26.921175142        3.08950306491       
103194              28.5065781756       29.6761621747       -1.16958399912      
26986               29.5626437179       24.4394330884       5.12321062949       
4046                20.7122391162       26.4430339629       -5.73079484672      
48468               18.1049404931       29.4334425108       -11.3285020178      
59570               32.2411586495       23.9992980544       8.24186059516       
102522              32.6426088777       32.152433723        0.490175154689      
70442               31.0289509464       30.7736141748       0.255336771607      
59330               32.5435750998       30.0499795712       2.49359552857       
18770               30.7838809041       32.6304559285       -1.84657502439      
52050               28.3751372361       26.3422239515       2.03291328463       
18772               29.5625235426       31.5758408476       -2.01331730505      
52054               31.8697626623       33.2097906975       -1.34002803519      
18774               31.2799561518       24.1519969786       7.12795917322       
62366               5.72748437703       5.26688363367       0.460600743365      
67274               23.3449942064       22.9481615578       0.396832648546      
99474               31.1741405368       22.3278596288       8.84628090795       
50488               27.5489246972       28.5151047027       -0.966180005485     
82732               25.6559907591       23.4120399353       2.24395082386       
172704              18.8428131098       17.745500981        1.09731212882       
16468               15.3056484563       15.940839188        -0.635190731683     
146775              1.5                 1.5                 0.0                 
81731               3.23417647471       2.64166106168       0.592515413034      
55878               15.2842158894       14.5138482381       0.770367651301      
164180              21.6116379525       23.3167290011       -1.70509104866      
172096              24.0406580266       21.7805143816       2.26014364494       
66764               25.1309055252       25.7683101129       -0.63740458772      
93982               31.7296160455       29.9308199341       1.7987961114        
115450              31.5514900608       31.3689452173       0.182544843512      
72790               32.366847105        30.5931796285       1.77366747652       
103960              32.8018095336       31.7964305524       1.00537898119       
118528              15.2098346358       14.3061234683       0.903711167482      
29514               23.5189386035       23.1397787462       0.379159857232      
135540              15.0555479253       28.4532007636       -13.3976528383      
124676              20.9636914892       27.3872988719       -6.42360738271      
113832              18.8387650678       17.6295436643       1.20922140354       
27034               18.6088069167       24.8259032576       -6.21709634092      
4910                25.1863209696       25.5056058241       -0.319284854537     
49210               22.8356012413       20.5050260056       2.33057523576       
100436              22.9646172991       22.0790442022       0.885573096885      
160320              30.7306164284       27.8332650624       2.897351366         
78788               30.7070281757       27.7065854737       3.00044270203       
66804               24.6274493433       25.0500312031       -0.422581859725     
105304              14.2098467086       32.3967992043       -18.1869524957      
159820              10.6701400652       16.8768950632       -6.20675499807      
77566               9.96693701833       25.1250535491       -15.1581165308      
99108               21.9827189293       28.1402821558       -6.1575632265       
121133              19.2931498498       16.9081259561       2.38502389376       
168468              20.6504530373       26.0668400742       -5.41638703692      
81606               29.4238297046       31.1131928165       -1.68936311186      
104834              23.8578699465       32.5772372672       -8.71936732065      
159494              24.4980939739       25.6199798094       -1.12188583543      
